"識別ID","回答日時","セグメント","タグ","現在の職場で働くことを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください","NPS要因 - 会社の理念やビジョン","影響理由 - 会社の理念やビジョン","NPS要因 - 会社の安定性・将来性","影響理由 - 会社の安定性・将来性","NPS要因 - 店舗/部門目標への共感","影響理由 - 店舗/部門目標への共感","NPS要因 - 顧客/お取引先との関係","影響理由 - 顧客/お取引先との関係","NPS要因 - 仕事の量","影響理由 - 仕事の量","NPS要因 - 自身が受ける評価","影響理由 - 自身が受ける評価","NPS要因 - 報酬(金額)","影響理由 - 報酬(金額)","NPS要因 - 成長の実感","影響理由 - 成長の実感","NPS要因 - 上司・上長との関係","影響理由 - 上司・上長との関係","NPS要因 - 同僚との関係","影響理由 - 同僚との関係","NPS要因 - PAとの関係","影響理由 - PAとの関係","NPS要因 - 店舗とHOMEの関係","影響理由 - 店舗とHOMEの関係","NPS要因 - 仕事のやりがい","影響理由 - 仕事のやりがい","NPS要因 - 福利厚生","影響理由 - 福利厚生","NPS要因 - 店舗/職場の清潔さ","影響理由 - 店舗/職場の清潔さ","NPS要因 - 会社の風土","影響理由 - 会社の風土","NPS要因 - 社会に対する事業の貢献度","影響理由 - 社会に対する事業の貢献度","NPS要因 - 会社・ブランドの知名度","影響理由 - 会社・ブランドの知名度","NPS要因 - 労働時間","影響理由 - 労働時間","NPS要因 - 昇給のしやすさ","影響理由 - 昇給のしやすさ","NPS要因 - 昇格のしやすさ","影響理由 - 昇格のしやすさ","NPS要因 - 業務における裁量","影響理由 - 業務における裁量","NPS要因 - 会社が用意する研修","影響理由 - 会社が用意する研修","NPS要因 - ツールや設備・インフラの整備","影響理由 - ツールや設備・インフラの整備","NPS要因 - ユニフォーム/服装のルール","影響理由 - ユニフォーム/服装のルール","現在、実際に今の職場への採用応募をすすめたい方はどれぐらいいますか？","今の職場でどの程度長く働きたいと思いますか？","総活躍企画のバームクーヘンについてどう思いますか？","上記の回答を選んだ理由を教えてください。","権限委譲の現状についてどう思いますか？","上記の回答を選んだ理由を教えてください。","会社の副業のルール（会社の許可を取った場合のみ副業可 能）を知っていますか？","今後副業をしたいですか？","今後副業をするとしたら、どんな目的ですか？","副業をするとしたら、具体的にどんなことをしたいですか？","IPアドレス","UserAgent"
"pL1CHcXH3y","2019/06/16 22:02:58","セグメントなし","","6","ややプラスに影響した","共感できるものであったため
","ややプラスに影響した","安定性はわからないが、将来への希望(良いように変化していきそう)は持てると感じた","ややプラスに影響した","上長が伝える内容がわかりやすく、自分に置き換えることが出来たため","ややプラスに影響した","このお店が好きです、などとお気持ちを伝えてくださる方がたまにいらっしゃるのでモチベーション維持になる","影響しなかった","","プラスに影響した","結果を出せた時に良い評価をしていただいたため","ややプラスに影響した","","プラスに影響した","できることが増えて自信に繋がっているため","プラスに影響した","自分のことを考えてくれて、相談にも乗ってくれるため","プラスに影響した","よきライバルでありよき理解者であるため
同僚がいるから仕事に対してのやる気があがる","プラスに影響した","PAさんがいなければ何も出来ないし、結果も出せない
自分が愛情を持って接するときちんと愛情を返してくれるため、より絆が深まっていくと感じている","ややプラスに影響した","お互いを理解しようと話を聞いてくれるし、すぐに返事がきたり対応してくれるため","プラスに影響した","すごく頑張れば出来そう、な課題に挑戦させてくれるため","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","１人","今のところ退職は考えていない","良い企画だった。","みんなが何を大切にしているか目に見えてわかったため","進んでいるようには感じない。","あまり話にあがらない、おりてこない","知らない","どちらともいえない","","ウェルカムをメインとするので融通のきく仕事
単発でもお給料が良い仕事","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"uCaoK5RkTV","2019/06/16 20:58:55","セグメントなし","","5","ややプラスに影響した","「感性の共鳴」という会社の理念や、「LIVING WITH FOOD」というブランド理念には以前から変わらず共感できるので。","ややマイナスに影響した","店舗拡大により売上は上がっているが、利益面での成長が伴っていないため。","ややマイナスに影響した","現在の評価制度では、出店計画の見誤りによる収益マイナスの場合でも、店舗メンバー・MGR含め営業メンバーのマイナス評価に繋がる仕組みであるため。","プラスに影響した","ブランドを好きでいてくださるお客様が沢山いること。
また、作り手とのつながりを大切にしている理念・会社であること。","マイナスに影響した","店舗数の増にあわせて新規システムの導入は着々と進んでいるが、そのシステムを有効活用できる仕組みや業務改善・効率化が全く伴っていないため、逆に仕事の量が増えていることが多々ある。","ややマイナスに影響した","毎年評価制度が変わり、実際のところ、何を基準に評価されているのかが明確でないため。
現在の評価制度では、出店計画の見誤りによる収益マイナスの場合でも、店舗メンバー・MGR含め営業メンバーのマイナス評価に繋がる仕組みであるため。","影響しなかった","","ややプラスに影響した","会社や店舗のために、自分で決めた改善アクションを実行できる環境にあるため。","ややプラスに影響した","お互いの意見を言いあえる環境にあるため。","プラスに影響した","課題に対して、一緒に向き合い、助け合える仲間が沢山いるので。","プラスに影響した","社員とPAメンバーが上下関係ではなく、一緒に成長してもらいたいと考えてくれているMGRが多くいるため。
PAレビューや手当等、PAがやりがいを持って働ける環境が整ってきているため。","ややマイナスに影響した","業務内容や大変さの相互理解不足により、お互いに文句が出たり、意思疎通が図れていないことが多々あるため。
HOMEでの決定事項や配信の遅れのひずみが、最終的に店舗の業務負担増大になっていることがよくあるため。","ややプラスに影響した","会社や店舗のために、自分で決めた改善アクションを実行できる環境にあるため。","マイナスに影響した","休日数の増加や、残業時間減など、制度自体は年々整ってきているが、実際に公休が取れない環境にある店舗がまだまだ沢山あること。","ややマイナスに影響した","清潔さはMGRやメンバーの心がけ次第だが、店舗構造による、どうにもならないバックヤード環境の悪さへの改善が必要なこと。","プラスに影響した","とことんこだわる、何事にも全力で取り組み、全力で楽しむという会社の風土に共感できるため。","ややマイナスに影響した","環境問題への配慮(包材など)や、食品ロス問題等、時代の流れにまだまだ追付いていない部分が多いため。","プラスに影響した","ブランドの認知度が高く、ブランドを愛してくださるお客様がたくさんいること。","マイナスに影響した","業務量の多さと働き方改革(休日増・残業減)に対する業務改善が連動していないため、労働時間自体が減っていないこと。","影響しなかった","","ややマイナスに影響した","昇格に対する基準やキャリアパスが明確でないこと。","影響しなかった","","ややマイナスに影響した","ベース研修はあるが、それを定期的に振り返るフォローアップ研修が必要と感じる。
リーダーやMGRに対しての実務以外の研修がない。","マイナスに影響した","諸システムの導入や制度の整備は進んでいるが、ルールの明確化や使いづらさに対する改善などがあまりないため。","影響しなかった","","いない","１年以上3年以内くらい","良い企画だった。","バウムがなくても自分たちで様々なアクションができている店舗も沢山あったが、
逆にツールがないと取り組めない店舗もあるので、それを明確化するツールとしてや、
PAメンバーとのコミュニケーションツールとしては良い企画であったと思う。
店舗による取組みの差があったが、ほとんどは人員面や店舗環境によるものが多く、もっとサポートや環境整備が必要だったように思った。","少しは進んでいるように感じる。","","知らない","どちらともいえない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"LxEfTx8SEb","2019/06/16 20:57:45","セグメントなし","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","在宅で子育てとも両立できること。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"7fhhViuJs6","2019/06/16 20:28:23","セグメントなし","","5","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","現状、所定の勤務時間内で終わらせることが難しいため。","影響しなかった","","マイナスに影響した","同年齢の知り合いと比較し、多くは無いため。","ややマイナスに影響した","長く続けているため、同じ業務の繰り返しが多い。","影響しなかった","","ややプラスに影響した","仕事への取り組み方や趣味嗜好の話など、為になることが多い。","ややプラスに影響した","このブランドに興味をもっている方が多いので、一緒に働いていて励みになる。","影響しなかった","","ややプラスに影響した","お客様やメンバーから、うれしい言葉をもらったりと、よい仕事の実感をもらえることが多い。","ややマイナスに影響した","まだ休みがきちんと取得できない状況が解消できていない。","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","知り合いに話すと、存在を知っており、好感を持ってもらえることが多い。","マイナスに影響した","一日の労働時間が長い。休みも消化することが難しかった。","ややマイナスに影響した","年々、昇給額が少なくなっている。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","いない","１年以上3年以内くらい","良い企画だった。","他メンバーの仕事への考えや頑張りが見えやすく、自分のやりがいにもなり、他人へのアドヴァイスもしやすかった。","進んでいるようには感じない。","体制が整っていないことも多く、結局、もろもろ確認が必要に感じる。","知らない","どちらともいえない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"KHDbgox8Fn","2019/06/16 20:15:56","セグメントなし","","7","プラスに影響した","会社の理念、ビジョンに共感できるから。部門ごとの良い所目指してるところがあり良いと思うから。","プラスに影響した","個々のブランド名が浸透されているしたくさんのお客様がファンになってくれていると思うから。","影響しなかった","","プラスに影響した","顧客のお客様やお取引先様ともお話を密にし良い関係を築けていると思ったから。","ややマイナスに影響した","他店舗の方とお話をしていると部門、店舗別で仕事量に少し違いがあると思ったから。","ややプラスに影響した","わたしが感じた事やりたい事を上司、同僚に伝えると全力で一緒に応援や行動を行ってくださるから。","ややマイナスに影響した","一人暮らしの友達には金額面的にオススメはしないかなと思ったから。","ややプラスに影響した","約2年働かせていただき社会人としての礼儀なども教えていただき成長を実感できるから。","プラスに影響した","上司、同僚に仕事で感じた事をいつでも話せる環境が整っている関係は素晴らしいと感じたから。","プラスに影響した","意見や感じた事を話せる環境が整っていると思うから。","プラスに影響した","PAさんは自分から行動してくださる方も多いですしコミュニケーション必ずとるので関係は良好に感じるため。","影響しなかった","","ややプラスに影響した","自分が行った事が良い意味ですぐ結果としてでてくるのでとてもやりがいを感じます。","ややプラスに影響した","産休を取りやすい環境だなと思いますし福利厚生がちゃんとされていると感じるため。","影響しなかった","","ややプラスに影響した","ウェルカムキャンプ等で他部門の方とコミュニケーションをとれる場があるのは素晴らしいと思うから。","ややプラスに影響した","小売業やレストランでSMS等で名前が知られているので貢献してると思うから。","プラスに影響した","入社時より地方の方もブランド名を知ってくださりお土産としてお買い物してくださる方が増えたと思うから。","マイナスに影響した","定時に終わる事もあるが残業している事もあるので友達にはオススメできないと思ったため。","影響しなかった","","影響しなかった","","ややマイナスに影響した","業務を時間内ギリギリかつかつで終わらす時が多々あるので体力的にも友達には少しオススメできないと思ったため。","影響しなかった","","影響しなかった","","ややプラスに影響した","清潔感があるユニフォームのため","いない","３年以上5年以内くらい","良い企画だった。","PAの皆様がバームクーヘンに書いた目標についてどうしたらみずから目標達成できるか行動しているのが見てわかるから。バームクーヘンでみんなコミュニケーションが増えたと思うから。","しっかりと進んでいるように感じる。","","知っている","したいとは思わない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"ROkvUi7Ypo","2019/06/16 20:07:54","セグメントなし","","0","影響しなかった","","マイナスに影響した","利益が低い","ややマイナスに影響した","","非常にマイナスに影響した","信頼を失う対応が多く見受けられる
人を大事にしていると思えない。","非常にマイナスに影響した","一人当たりの仕事量が多く、代わりがいないため、結果休みも取りづらい","非常にマイナスに影響した","評価者が曖昧、きちんとフィードバックされない、","非常にマイナスに影響した","上がる見込みがない、ボーナスも結局給与支払いサイトの件で無いようなもの","マイナスに影響した","","ややマイナスに影響した","上長がいない","プラスに影響した","","プラスに影響した","","影響しなかった","","影響しなかった","","マイナスに影響した","ボーナスが少ない","非常にマイナスに影響した","日の当たらない倉庫みたいな場所で毎日仕事をしていて辛い
前の方が良かった","非常にマイナスに影響した","","プラスに影響した","","プラスに影響した","","非常にマイナスに影響した","","非常にマイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","非常にマイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","いない","１年以上3年以内くらい","良い企画だったとは思わない。","","進んでいるようには感じない。","","知っている","したい","ウェルカムでの業務以外でも自己研鑽を積みたい, 所得を増やしたい","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"wV0rSULqmR","2019/06/16 19:07:48","セグメントなし","","5","ややプラスに影響した","伝統やルーツを大事にしながらも、常に新しいヴィジョンを見据えている","ややプラスに影響した","現状に甘んじるなく、常に時代の一歩先をいくなど、たゆまぬ挑戦力","ややプラスに影響した","ブランド愛に満ち溢れている","ややプラスに影響した","","ややマイナスに影響した","","影響しなかった","","ややマイナスに影響した","飲食業界の話にはなるが、労働と報酬のバランスは悪いと考える","影響しなかった","","ややプラスに影響した","現場出身の上長が多く、同じ目線で相談に乗ってくれる","ややプラスに影響した","ブランドを良くしたいという想いにブレがない","ややプラスに影響した","自身で採用するため、その成長過程が楽しみなのと、ブランドが好きで","ややプラスに影響した","風通しの良い環境。自店で取り組むイベントに対しても協力してくれる","プラスに影響した","オーナーシップをもって仕事に取り組める","影響しなかった","","影響しなかった","","ややプラスに影響した","トライ アンド エラー
挑戦させてくれる環境","ややプラスに影響した","作り手を大事にすること。地方創生やジャパンハウスなど内外に、ウェルカムのフィルターを通してプロダクトアウトしていると感じる","プラスに影響した","感度が高い方なら、誰でも知っている認知度とポジティブなブランドイメージ","ややマイナスに影響した","時間内に終わらない程の業務量。ブランド愛がなければ到底出来ない","ややマイナスに影響した","自身に関しては昇給イメージは分かるが、他者に関してはスタート地点の給与が分からないため、薦めにくい","ややマイナスに影響した","自身に関しては昇給イメージは分かるが、他者に関してはスタート地点の給与が分からないため、薦めにくい","ややプラスに影響した","業務の幅が広いため、スキルが増える。決定権が現場にある程度裁量があるため、やりがいを感じる","影響しなかった","","ややマイナスに影響した","5年ほど経過した店舗だと経年劣化が激しい。高額な修繕費がイレギュラーででるためPLを管理しにくい。また単品棚卸のやり方が古く、現場に大きな負担となっている。","影響しなかった","","１人","今のところ退職は考えていない","良い企画だった。","メンバー全員の大事にしている事や、心がけている事がわかった","しっかりと進んでいるように感じる。","MGRの裁量は多い","知らない","どちらともいえない","","投資","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"XOKnl2QaQN","2019/06/16 18:32:37","セグメントなし","","5","ややマイナスに影響した","掲げている理念やビジョンに共感や理解していつつも、正直、日々の中での体現や実感が薄いのが実情です。
マイナスに影響が及ぼしてる訳ではありませんが、リアリティに欠けているようには感じています。","ややプラスに影響した","WELCOME全体事業として衣・食・住と、それぞれの分野で企画がたち、ブランディングが確立した環境下にある事。また、他企業と比較しても規模感が大きく、新しい取り組みなど会社としての可能性は以前より増しているよう実感しています。

クリエイティブを価値として、その事を信じている会社だからこそ出来る事、自己スキルにより裁量をもって(任せて)仕事ができていると、私自身感じてますので、将来性=可能性の部分でプラスにしています。","影響しなかった","","プラスに影響した","ブランド評価と認知いただき、良好な関係でいる事。
顧客様(お客様)、お取引様ともに、取り組みを楽しんで応援していただけている事を日々実感しています。","影響しなかった","","ややマイナスに影響した","適正な評価を受けにくい体制であると感じる事がある為。
評価者により評価軸がブレる事と、本質に向き合う体制や姿勢、地道にやり続けている事(られる事)に評価のおもきが無い傾向にある為。
自身の評価が人や時と場合で変わる事があるように感じてます。","ややマイナスに影響した","自身の仕事量と貢献度に対しての報酬を比較して。","プラスに影響した","現状維持に満足する事なく挑戦する姿勢を評価している会社であると思います。
クリエイティブを価値として、その事を信じている会社だからこそ可能性や新たな取り組みも多く、毎年新らしい事のチャレンジが出来ています。
また、自己スキルにより裁量をもって(任せて)仕事ができる環境である事で、自身の成長や発見は実感しやすい環境にあると思います。","マイナスに影響した","現状の上長との関係と、他事業部の話や関係を聞いた時に良好の事業部を聞く機会が少ない為。
業態規模に対して、事業部をまとめる裁量を上長から感じる事ができてません。
企画だちしている業態に対し、営業事業部長の体制自体が難しいのか？現状、一番不満を感じている内容です。","プラスに影響した","複数ブランドがある事で同業種や近しい役職が社内でいる事と、他業種(他部門)でありながら価値観の通じる同僚が多くいる会社である事。
意見交換や切磋琢磨できる事だけでなく心強くいられます。","影響しなかった","","影響しなかった","","プラスに影響した","クリエイティブを価値として、その事を信じている会社だからこそできる可能性や新たな取り組みも多く、毎年新らしい事のチャレンジが出来ているからです。
また、自己スキルにより裁量をもって(任せて)仕事ができる環境である事と、その事を事業部内でも評価、信頼してもらえている事と企画も営業もお互いの仕事や価値を信じている、認めている関係性である事も大きく影響しています。","影響しなかった","","影響しなかった","","ややマイナスに影響した","新しい事を評価する風習が強くある一方で、
継続する事や人に対しての評価は低いように感じ、改善の見込みがないよう私自身感じてます。
特に最近、ブランドや部署の功労者、アイコンに感じている人の離職が目立つ事は残念に思います。","影響しなかった","","プラスに影響した","ブランド評価と認知いただき、良好な関係でいる事。
顧客様(お客様)、お取引様ともに、取り組みを楽しんで応援していただけている事を日々実感しています。","影響しなかった","","マイナスに影響した","評価者により評価軸がブレる事と適正な評価を受けにくい体制であると感じる事がある為。
昇給基準と判断が不明確に感じてしまう。","マイナスに影響した","評価者により評価軸がブレる事と適正な評価を受けにくい体制であると感じる事がある為。
","ややプラスに影響した","個人負担が大きくなるが、それに見合った業務裁量があると感じてます。","影響しなかった","","マイナスに影響した","多職種ある会社に対しての環境は見合ってないように感じている。","影響しなかった","","２人","１年以上3年以内くらい","良い企画だった。","よい企画に思いましたが、掲げている内容に共感や理解していつつも、正直、日々の中での体現や実感は薄いのも実情です。
業種や働く環境も異なる中で、同じフィールドでの総活躍が何になるのか？よく分からないまま終了してしまったように思います。
何に効果や影響が及ぼしているのか？まだ理解把握できてないので、CAMPで振り返りたいと思います。","少しは進んでいるように感じる。","権限委譲は進んでいるように思いますが、
一方では、全体を総括把握している人もいないよう感じる事もあり、
委譲と好き勝手の境界が何処なのか？感じる事(人や部署)はあります。","知らない","したい","ウェルカムでの業務以外でも自己研鑽を積みたい, 所得を増やしたい","ウェルカム以外で現状と同じ職種を行いたい　","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"oDay9hC6wZ","2019/06/16 18:26:35","セグメントなし","","2","影響しなかった","","マイナスに影響した","売上の結果や、オイシックスからの資本のニュースをみていい状況ではないことを感じている","ややマイナスに影響した","現場重視、お客様第一、ということを掲げているが、今年度その現場が楽になるような政策をなにかうったのか？
現場の声をちゃんと聞いている…？店舗業務がわからないHOMEメンバーをお店に行かせて、あまり必要のない雑務をやらせることは本当に店舗のためになっているのか","ややプラスに影響した","関係が良好な取引先が多い印象。JAPAN HOUSEなど、そういった影響でできていると思う。","ややマイナスに影響した","残業は他の企業と比べてとても多いと思う。60時間以上残業やっている人が多く、ひどい人は100時間近くなっている。
祝日休みや、店舗の月10日の休みの導入なとで、働かなくてはいけない日が減るが、それで休日出勤なども無くなるのか、残業も減るのかはかなり疑問。
このような問題に対して、経営側は仕方ない、悪いけどなんとかして、という程度の認識しか無い印象。働きやすい環境ではない。","ややマイナスに影響した","会社に余裕がないので、大きい昇給などは予算的にできないのだと思う。
リーダーなどに昇格しても昇給しないことがほとんどだと思う。
外から転職でくる人の方が多くもらえている印象で、ずっと社内にいる人はあまりあげてもらえてないと思う。","マイナスに影響した","他者に比べて明らかに少ない印象。MGRクラスで固定給が25万程度はひどすぎる。","ややマイナスに影響した","期日やルールといったものを経営陣をはじめ上の人達が「忙しいから仕方ない」等の理由で守らないことが多く、その傾向が全社的にあり、謝ったもん勝ち、というようなことがかなりある。ちゃんとやっている人が評価されるわけでもない、上の人達が急に変えたり、やっぱりやめたり、平気で期日を超えてきて振り回される。
そういうことをやめれば店舗にも休める余裕が出るのでは？","影響しなかった","","ややプラスに影響した","優しく気がいい人が多い印象","ややマイナスに影響した","忙しくてPAさんとのコミュニケーションが上手く取れず、関係が悪くなっている店舗がいくつかある印象。特にメンバー数が多い店舗で起きている。
そういったことを理由で無断での退職も多く、忙しい中で関係性をうまく保つのが難しいのではと思う。","影響しなかった","","影響しなかった","","マイナスに影響した","大した福利厚生もなく、資格をとっても優遇されることはない。忙しく休みも取りづらい。","ややマイナスに影響した","汚く、あまり片付けられていない。それについてルールやきまりもない。","ややマイナスに影響した","期日に遅れてもいい、忙しいから仕方ない、急に決める、いきなり変える、メンバーの意見を尊重してない、役員が責任をとらない(人事部など、ネガティブ離職は解決されていない)、責任を取らなくても減給もなにもなくやりたい放題、このような点でマイナスに影響する","影響しなかった","","ややプラスに影響した","名前をいうと女性を中心にほとんどの人が知っている。テレビへの露出もあり、プラスへ影響。","ややマイナスに影響した","残業するにしても長すぎる。特殊なことがあっての残業ではなく、通常業務がイレギャラーなことがはさまって追いつかず残ってしまうことが多い。
","ややマイナスに影響した","会社に余裕がなく、予算の上限があるため、評価か高くても難しいのでは、と思う。","ややマイナスに影響した","昇給のしやすさと同じ","ややマイナスに影響した","裁量を分けるといって、結局役員の方々に確認しないと進まないことがほとんど。","ややマイナスに影響した","転職組が多いが、新卒以外の転職組の人達のキャリア形成はあまり大切にしていない印象。","ややマイナスに影響した","店舗でいまだにエクセルではない、古いソフトをつかっているという話をきいた。
現場に余裕がないのはそういった部分もあるのでは？","影響しなかった","","いない","１年以上3年以内くらい","良い企画だったとは思わない。","評価に関係のないことをやる意味がわからない。
しかも店舗のバームクーヘンを取り上げているのをみたところ、ほとんど仕事のことで、評価に影響することばかりだった。
企画の意味があったのか？","進んでいるようには感じない。","結局役員の方々に確認しないと進まないことがほとんどでは？","知っている","したい","所得を増やしたい","未定","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"thyW9grwiR","2019/06/16 17:47:04","セグメントなし","","4","プラスに影響した","","ややプラスに影響した","","ややマイナスに影響した","","ややプラスに影響した","","非常にマイナスに影響した","カフェ店舗とマーケット店舗の仕事量の差が大きいため。","影響しなかった","","非常にマイナスに影響した","みなし残業と賞与に不満があるため。","影響しなかった","","ややプラスに影響した","","ややプラスに影響した","","ややプラスに影響した","","影響しなかった","","ややマイナスに影響した","","影響しなかった","","ややマイナスに影響した","","影響しなかった","","影響しなかった","","ややプラスに影響した","","非常にマイナスに影響した","カフェ店舗では、残業が当たり前のようになっているため。","マイナスに影響した","","ややプラスに影響した","","マイナスに影響した","","ややプラスに影響した","","影響しなかった","","影響しなかった","","いない","１年以上3年以内くらい","良い企画だった。","","少しは進んでいるように感じる。","","知らない","したいとは思わない","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"fgLwun5ZMT","2019/06/16 16:59:58","セグメントなし","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","どちらともいえない","","飲食店で働きます。
自分のスキル向上にもなるから。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"fgLwun5ZMT","2019/06/16 16:58:46","セグメントなし","","3","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","みなし残業ありきのシフトで、定時で帰れる事があまりないから。","影響しなかった","","ややマイナスに影響した","世間一般の平均年収より低いから。
","影響しなかった","","ややマイナスに影響した","王様気質の振る舞いであるから。
パワハラ気味で下で働いている人はうんざりしている。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","有給休暇があるけど１日も使えない。
制度としてあっても使えないなら意味がない。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","定時で帰れる日がほぼほぼなく、みなし残業いっぱいまで働いているから。
毎日2〜2.5時間の残業をしている。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","いない","１年以上3年以内くらい","良い企画だったとは思わない。","期間が長いためだんたん意欲的に取り組めなくなっている。","進んでいるようには感じない。","少なくとも今の職場には感じられない。","知らない","どちらともいえない","","飲食店で働きます。
自分のスキル向上にもなるから。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"VmwNZSU1Sf","2019/06/16 15:49:05","セグメントなし","","5","影響しなかった","","影響しなかった","","影響しなかった","","プラスに影響した","店舗ヘルプで実感しましたが、お客様からサービスを必要とされているため。","影響しなかった","","影響しなかった","","マイナスに影響した","同業他者と比較して報酬水準が劣るため。","ややマイナスに影響した","元々職場を成長の場と捉えていませんが、自身の成長を感じないため。","プラスに影響した","直属の上司が尊敬できる人で、楽しく仕事できているため。","影響しなかった","","影響しなかった","","プラスに影響した","店舗とホームのコミュニケーションが良く、風通しがよいため。","プラスに影響した","社会における当社サービス需要のため。","影響しなかった","","マイナスに影響した","店舗はわかりませんが、ホームは狭いスペースに多人数が詰め込まれ空気が悪いが、特に対策もないため。","影響しなかった","","プラスに影響した","同業他者に劣るものの、社会における事業貢献度があるため。","プラスに影響した","各ブランドは社会における認知度があるため。","影響しなかった","","影響しなかった","","影響しなかった","","プラスに影響した","能力を認められれば、裁量を与えてもらえるため。","影響しなかった","","非常にマイナスに影響した","他社と比較して、ハードやソフトのインフラおよび、それを管理するIT部門自体が脆弱で、アプリの障害が頻発し仕事に支障があるため。","プラスに影響した","私服通勤可能で、コストがかからないため","いない","今のところ退職は考えていない","良い企画だった。","部内および関連部署とのコミュニケーション増加","少しは進んでいるように感じる。","内規の整った会社にいたため業務を整理し、また上司と相談し、裁量を持たせてもらっているため。","知っている","したい","所得を増やしたい","会計事務所の下請け。","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
